Period,Region,Homeless Adults,Male,Female,Ages18_24,Ages25_44,Ages45_64,Ages65Up,PEA,STA,TEA,Other,TotalFamilies,DependentChild
01-05-2019,Mid-East,294,178,116,30,177,80,7,177,110,3,4,56,135
01-05-2019,Midlands,105,43,62,24,55,23,3,67,38,0,0,20,54
01-05-2019,Mid-West,341,224,117,52,188,95,6,116,186,39,0,79,147
01-05-2019,North-East,176,115,61,24,99,39,14,104,71,1,0,15,36
01-05-2019,North-West,50,36,14,7,29,12,2,12,25,12,1,7,24
01-05-2019,South-East,295,194,101,58,151,79,7,85,191,4,15,36,64
01-05-2019,South-West,552,322,230,74,332,131,15,350,207,0,0,132,318
01-05-2019,West,324,190,134,39,180,94,11,209,108,0,7,80,200
01-06-2019,Dublin,4356,2529,1827,572,2600,1112,72,2157,2275,68,0,1249,2722
01-06-2019,Mid-East,294,176,118,31,173,80,10,188,99,3,4,58,139
01-06-2019,Midlands,107,51,56,23,57,25,2,68,39,0,0,24,65
01-06-2019,Mid-West,332,213,119,39,192,93,8,111,185,36,0,75,138
01-06-2019,North-East,182,118,64,23,105,41,13,107,73,1,1,20,46
01-06-2019,North-West,55,39,16,7,32,14,2,12,26,10,7,7,25
01-06-2019,South-East,284,185,99,56,143,78,7,77,191,4,12,31,57
01-06-2019,South-West,550,323,227,72,332,130,16,339,214,0,0,135,284
01-06-2019,West,337,192,145,44,186,95,12,215,117,0,5,87,199
01-07-2019,Dublin,4300,2448,1852,580,2490,1154,76,2191,2106,73,0,1265,2776
01-07-2019,Mid-East,306,177,129,38,180,79,9,205,94,3,4,68,163
01-07-2019,Midlands,119,55,64,29,59,29,2,78,41,0,0,25,60
01-07-2019,Mid-West,343,212,131,44,195,96,8,113,189,41,0,81,154
01-07-2019,North-East,187,118,69,28,105,42,12,117,69,1,0,19,41
01-07-2019,North-West,54,40,14,8,27,16,3,15,24,11,4,7,24
01-07-2019,South-East,263,173,90,48,138,71,6,61,177,11,14,33,60
01-07-2019,South-West,575,336,239,79,340,141,15,363,212,0,0,143,315
01-07-2019,West,350,200,150,51,192,95,12,227,123,0,0,80,185
01-08-2019,Dublin,4312,2447,1865,569,2511,1153,79,2260,2078,67,0,1280,2850
01-08-2019,Mid-East,327,193,134,44,193,81,9,223,98,3,4,79,182
01-08-2019,Midlands,98,47,51,20,50,28,0,61,12,25,0,22,49
01-08-2019,Mid-West,323,202,121,46,170,100,7,103,186,34,0,76,141
01-08-2019,North-East,179,106,73,32,102,34,11,112,66,1,0,19,40
01-08-2019,North-West,51,35,16,12,27,10,2,10,24,11,6,6,20
01-08-2019,South-East,266,170,96,51,136,73,6,64,174,10,18,30,57
01-08-2019,South-West,583,345,238,87,338,136,22,375,13,195,0,131,309
01-08-2019,West,351,210,141,49,195,95,12,229,122,0,0,83,200
01-09-2019,Dublin,4370,2486,1884,582,2535,1175,78,2269,2098,70,0,1294,2872
01-09-2019,Mid-East,316,186,130,49,180,77,10,222,91,3,0,86,191
01-09-2019,Midlands,94,43,51,15,54,25,0,58,12,24,0,26,61
01-09-2019,Mid-West,324,192,132,53,175,90,6,108,177,40,0,81,142
01-09-2019,North-East,169,101,68,34,89,34,12,111,58,0,0,29,49
01-09-2019,North-West,55,35,20,8,31,15,1,16,25,12,2,5,17
01-09-2019,South-East,256,171,85,57,126,66,7,67,178,10,1,22,40
01-09-2019,South-West,592,356,236,94,322,155,21,356,237,0,0,124,288
01-09-2019,West,348,211,137,44,194,97,13,218,128,0,2,89,213
01-10-2019,Dublin,4534,2658,1876,583,2671,1201,79,2260,2321,65,0,1270,2795
01-10-2019,Mid-East,319,191,128,49,173,85,12,214,102,3,0,86,198
01-10-2019,Midlands,96,46,50,18,55,23,0,59,12,25,0,23,55
01-10-2019,Mid-West,345,203,142,53,195,91,6,128,180,37,0,88,163
01-10-2019,North-East,144,87,57,28,76,30,10,92,52,0,0,27,47
01-10-2019,North-West,65,44,21,12,37,15,1,20,29,13,3,8,19
01-10-2019,South-East,237,161,76,46,114,69,8,70,156,3,8,21,46
01-10-2019,South-West,608,378,230,79,346,159,24,360,248,0,0,125,291
01-10-2019,West,340,196,144,41,192,93,14,214,121,0,5,85,212
01-11-2019,Dublin,4509,2636,1873,557,2635,1228,89,2372,2314,64,0,1256,2782
01-11-2019,Mid-East,322,197,125,43,183,85,11,199,120,3,0,82,190
01-11-2019,Midlands,97,45,52,20,53,24,0,60,12,25,0,25,55
01-11-2019,Mid-West,369,222,147,49,214,98,8,137,190,42,0,76,140
01-11-2019,North-East,141,85,56,24,75,32,10,84,57,0,0,20,33
01-11-2019,North-West,67,49,18,11,39,16,1,22,30,11,4,6,17
01-11-2019,South-East,238,170,68,44,120,65,9,59,169,0,10,15,31
01-11-2019,South-West,592,361,231,81,351,139,21,338,254,0,0,119,289
01-11-2019,West,361,208,153,53,197,95,16,223,136,0,2,86,215
01-12-2019,Dublin,4268,2498,1770,510,2495,1180,83,1992,2250,58,0,1162,2553
01-12-2019,Mid-East,310,197,113,41,166,92,11,189,117,4,0,71,169
01-12-2019,Midlands,98,48,50,11,51,33,3,62,12,24,0,23,53
01-12-2019,Mid-West,335,212,123,51,179,97,8,112,188,35,0,76,126
01-12-2019,North-East,127,72,55,19,64,33,11,75,51,1,0,12,24
01-12-2019,North-West,58,41,17,9,32,16,1,18,28,11,1,9,18
01-12-2019,South-East,205,151,54,30,112,55,8,54,149,0,2,8,19
01-12-2019,South-West,548,337,211,68,332,127,21,317,234,0,0,109,263
01-12-2019,West,360,210,150,45,198,102,15,208,150,0,2,78,197
01-01-2020,Dublin,4600,2773,1827,577,2687,1250,86,2349,2278,62,0,1201,2678
01-01-2020,Mid-East,301,186,115,40,160,90,11,183,114,4,0,68,156
01-01-2020,Midlands,109,58,51,22,58,28,1,73,12,24,0,25,56
01-01-2020,Mid-West,341,208,133,48,189,97,7,121,182,38,0,85,147
01-01-2020,North-East,128,77,51,18,63,36,11,70,56,2,0,22,32
01-01-2020,North-West,67,45,22,14,34,18,1,19,31,11,6,9,21
01-01-2020,South-East,222,160,62,35,122,56,9,58,162,0,2,11,21
01-01-2020,South-West,578,358,220,73,342,138,25,328,254,0,0,111,264
01-01-2020,West,351,202,149,42,195,101,13,205,144,0,2,79,199
01-02-2020,Dublin,4550,2766,1784,580,2641,1222,107,2288,2289,60,0,1178,2669
01-02-2020,Mid-East,312,191,121,42,171,89,10,186,122,4,0,76,167
01-02-2020,Midlands,114,62,52,25,59,28,2,77,12,26,0,24,53
01-02-2020,Mid-West,347,213,134,52,196,92,7,120,184,43,0,85,148
01-02-2020,North-East,124,71,53,15,64,32,13,69,54,1,0,23,34
01-02-2020,North-West,63,45,18,9,37,16,1,21,31,10,1,7,17
01-02-2020,South-East,217,161,56,32,120,57,8,53,162,0,2,13,19
01-02-2020,South-West,572,362,210,78,332,139,23,313,260,0,0,103,244
01-02-2020,West,315,187,128,48,162,93,12,165,150,0,0,101,183
01-03-2020,Dublin,4515,2773,1742,524,2662,1241,88,2442,2102,54,0,1103,2491
01-03-2020,Mid-East,317,191,126,44,174,88,11,192,121,4,0,81,184
01-03-2020,Midlands,97,53,44,20,51,25,1,63,12,22,0,17,38
01-03-2020,Mid-West,331,199,132,51,178,95,7,115,184,32,0,78,133
01-03-2020,North-East,112,64,48,18,55,27,12,64,48,0,0,16,28
01-03-2020,North-West,69,50,19,11,38,19,1,27,32,10,0,7,14
01-03-2020,South-East,218,162,56,33,121,55,9,51,164,0,3,12,18
01-03-2020,South-West,550,345,205,76,320,128,26,328,223,0,0,94,229
01-03-2020,West,343,190,153,51,186,91,15,212,131,0,0,80,220
01-04-2020,Dublin,4266,2652,1614,475,2514,1190,87,2335,1902,42,0,974,2232
01-04-2020,Mid-East,335,211,124,46,183,96,10,208,123,4,0,72,168
01-04-2020,Midlands,98,58,40,25,50,21,2,67,12,19,0,17,47
01-04-2020,Mid-West,330,211,119,40,182,100,8,112,179,36,3,82,144
01-04-2020,North-East,110,64,46,18,54,25,13,61,49,0,0,14,30
01-04-2020,North-West,71,51,20,12,39,19,1,29,31,11,0,3,12
01-04-2020,South-East,218,160,58,33,117,60,8,57,160,0,1,12,19
01-04-2020,South-West,511,324,187,53,308,128,22,338,174,0,0,84,207
01-04-2020,West,323,184,139,47,174,89,13,198,125,0,0,81,214
01-05-2020,Dublin,4164,2641,1523,450,2434,1198,82,2336,1856,39,0,893,2065
01-05-2020,Mid-East,318,207,111,42,170,98,8,201,113,4,0,63,138
01-05-2020,Midlands,92,57,35,14,54,21,3,65,11,16,0,17,43
01-05-2020,Mid-West,300,195,105,40,161,91,8,98,170,32,0,55,89
01-05-2020,North-East,119,75,44,17,65,25,12,32,51,36,0,17,24
01-05-2020,North-West,70,53,17,11,39,19,1,28,32,10,0,5,12
01-05-2020,South-East,201,146,55,34,106,55,6,51,150,0,0,11,14
01-05-2020,South-West,511,320,191,55,307,131,18,337,175,0,0,84,213
01-05-2020,West,314,174,140,46,171,87,10,169,143,0,2,72,189
01-06-2020,Dublin,4173,2640,1533,481,2439,1197,56,2299,1889,39,0,871,1979
01-06-2020,Mid-East,309,197,112,41,166,94,8,210,105,4,0,61,146
01-06-2020,Midlands,97,56,41,15,61,20,1,71,10,16,0,17,42
01-06-2020,Mid-West,291,193,98,38,161,84,8,90,169,32,0,46,78
01-06-2020,North-East,119,76,43,18,65,24,12,32,52,35,0,16,34
01-06-2020,North-West,69,53,16,12,38,18,1,28,30,10,1,5,12
01-06-2020,South-East,189,141,48,27,102,54,6,49,140,0,0,10,13
01-06-2020,South-West,502,334,168,52,312,120,18,312,191,0,0,68,179
01-06-2020,West,297,165,132,47,159,79,12,158,139,0,0,65,170
01-07-2020,Dublin,4188,2668,1520,480,2436,1200,72,2315,1888,38,0,862,2017
01-07-2020,Mid-East,316,206,110,45,168,92,11,195,117,4,0,55,134
01-07-2020,Midlands,95,58,37,18,57,19,1,68,10,17,0,19,44
01-07-2020,Mid-West,289,202,87,36,163,83,7,82,173,34,0,45,70
01-07-2020,North-East,129,85,44,20,78,21,10,53,64,12,0,21,31
01-07-2020,North-West,73,53,20,14,40,18,1,27,31,11,4,3,9
01-07-2020,South-East,187,138,49,30,100,51,6,48,139,0,0,9,12
01-07-2020,South-West,514,345,169,59,301,135,19,326,192,0,0,66,170
01-07-2020,West,286,160,126,51,145,78,12,155,131,0,0,62,164
01-08-2020,Dublin,4204,2695,1509,481,2432,1221,70,2334,1879,34,0,856,2023
01-08-2020,Mid-East,303,193,110,45,165,82,11,194,105,4,0,51,132
01-08-2020,Midlands,92,56,36,20,52,19,1,66,10,16,0,19,45
01-08-2020,Mid-West,291,199,92,34,173,76,8,83,171,37,0,41,62
01-08-2020,North-East,126,85,41,19,74,21,12,40,50,36,0,14,25
01-08-2020,North-West,67,45,22,14,35,17,1,29,28,8,2,5,11
01-08-2020,South-East,188,140,48,32,98,51,7,47,141,0,0,13,20
01-08-2020,South-West,529,350,179,69,299,138,23,335,197,0,0,62,157
01-08-2020,West,282,165,117,49,139,84,10,142,140,0,0,59,145
01-09-2020,Dublin,4251,2713,1538,504,2460,1218,69,2395,1865,35,0,865,2008
01-09-2020,Mid-East,295,184,111,48,154,82,11,195,97,4,0,58,139
01-09-2020,Midlands,81,48,33,18,45,17,1,52,11,18,0,16,37
01-09-2020,Mid-West,291,190,101,33,178,75,5,82,175,34,0,46,67
01-09-2020,North-East,102,77,25,13,61,19,9,28,51,23,0,5,9
01-09-2020,North-West,74,49,25,15,40,18,1,32,30,10,2,5,11
01-09-2020,South-East,195,145,50,32,101,55,7,51,144,0,0,13,19
01-09-2020,South-West,532,348,184,73,311,129,19,339,195,0,0,68,163
01-09-2020,West,252,145,107,48,125,69,10,128,124,0,0,52,130
01-10-2020,Dublin,4297,2762,1535,484,2494,1247,72,2410,1907,35,0,858,2070
01-10-2020,Mid-East,313,192,121,62,169,73,9,208,101,4,0,60,141
01-10-2020,Midlands,79,43,36,17,41,19,2,52,11,16,0,22,48
01-10-2020,Mid-West,289,193,96,27,177,78,7,80,172,37,0,39,62
01-10-2020,North-East,100,73,27,12,57,21,10,27,51,22,0,3,7
01-10-2020,North-West,67,44,23,13,37,17,0,29,25,11,2,6,13
01-10-2020,South-East,197,149,48,31,105,54,7,53,144,0,0,14,22
01-10-2020,South-West,501,338,163,53,290,140,18,340,177,0,0,65,163
01-10-2020,West,252,151,101,42,134,67,9,119,133,0,0,50,116
01-11-2020,Dublin,4243,2749,1494,487,2458,1228,70,2396,1856,37,0,783,1914
01-11-2020,Mid-East,323,208,115,49,173,90,11,215,104,4,0,60,134
01-11-2020,Midlands,79,45,34,19,40,18,2,51,11,17,0,21,46
01-11-2020,Mid-West,287,187,100,26,182,74,5,71,183,33,0,34,53
01-11-2020,North-East,95,71,24,8,56,22,9,29,43,23,0,9,17
01-11-2020,North-West,75,49,26,17,38,19,1,37,25,11,2,7,16
01-11-2020,South-East,174,126,48,30,90,48,6,52,122,0,0,16,25
01-11-2020,South-West,504,344,160,61,283,143,17,337,171,0,0,58,142
01-11-2020,West,252,146,106,48,122,73,9,115,137,0,0,46,105
01-12-2020,Dublin,4158,2681,1477,482,2402,1209,65,2360,1795,37,0,755,1864
01-12-2020,Mid-East,310,198,112,43,170,86,11,201,105,3,1,53,127
01-12-2020,Midlands,68,38,30,15,34,18,1,39,14,15,0,16,34
01-12-2020,Mid-West,274,182,92,26,167,76,5,68,164,42,0,30,51
01-12-2020,North-East,89,68,21,11,50,21,7,28,44,17,0,4,9
01-12-2020,North-West,72,51,21,18,34,19,1,32,28,11,1,6,12
01-12-2020,South-East,169,124,45,26,86,49,8,50,119,0,0,14,21
01-12-2020,South-West,485,340,145,57,272,139,17,327,158,0,0,50,119
01-12-2020,West,248,146,102,50,120,70,8,108,140,0,0,42,90
01-01-2021,Dublin,4175,2724,1451,485,2397,1225,68,2372,1858,33,0,742,1823
01-01-2021,Mid-East,329,218,111,51,172,95,11,206,120,3,0,59,152
01-01-2021,Midlands,66,36,30,17,30,17,2,39,11,16,0,14,31
01-01-2021,Mid-West,295,200,95,29,181,80,5,71,190,34,0,29,45
01-01-2021,North-East,85,66,19,12,43,22,8,25,38,22,0,1,1
01-01-2021,North-West,84,61,23,19,45,19,1,36,32,13,3,6,12
01-01-2021,South-East,181,132,49,28,94,50,9,58,123,0,0,19,32
01-01-2021,South-West,503,354,149,67,282,140,14,342,163,0,0,50,122
01-01-2021,West,269,159,110,52,131,78,8,127,142,0,0,46,108
01-02-2021,Dublin,4129,2693,1436,475,2375,1213,66,2273,1952,34,0,716,1760
01-02-2021,Mid-East,335,221,114,50,181,94,10,201,131,3,0,54,150
01-02-2021,Midlands,74,42,32,21,38,14,1,48,9,17,0,17,37
01-02-2021,Mid-West,293,203,90,33,177,79,4,68,192,33,0,29,47
01-02-2021,North-East,97,76,21,15,50,24,8,25,47,25,0,1,3
01-02-2021,North-West,84,60,24,17,47,19,1,36,32,15,1,5,8
01-02-2021,South-East,180,134,46,32,85,54,9,56,124,0,0,19,32
01-02-2021,South-West,503,359,144,77,276,139,11,338,173,0,0,42,107
01-02-2021,West,279,163,116,56,142,74,7,133,146,0,0,52,120
01-03-2021,Dublin,4093,2706,1387,459,2392,1179,63,2267,1836,33,0,681,1669
01-03-2021,Mid-East,338,231,107,51,188,91,8,206,129,3,0,55,121
01-03-2021,Midlands,67,40,27,19,35,12,1,41,11,15,0,13,24
01-03-2021,Mid-West,284,197,87,34,174,71,5,59,190,35,0,27,38
01-03-2021,North-East,85,65,20,14,40,22,9,21,46,18,0,6,13
01-03-2021,North-West,80,57,23,13,45,21,1,37,30,12,1,4,13
01-03-2021,South-East,184,133,51,30,94,52,8,52,132,0,0,16,30
01-03-2021,South-West,486,344,142,74,266,133,13,324,166,0,0,45,106
01-03-2021,West,277,168,109,44,145,77,11,125,152,0,0,66,152
01-04-2021,Dublin,4087,2682,1405,482,2374,1168,63,2289,1823,37,0,699,1719
01-04-2021,Mid-East,350,238,112,51,194,93,12,216,131,3,0,55,131
01-04-2021,Midlands,72,45,27,22,38,11,1,46,10,16,0,12,21
01-04-2021,Mid-West,288,204,84,27,177,79,5,55,200,33,0,28,35
01-04-2021,North-East,97,71,26,15,50,23,9,22,52,23,0,5,10
01-04-2021,North-West,74,52,22,10,45,18,1,46,12,14,2,5,9
01-04-2021,South-East,175,127,48,26,94,48,7,44,131,0,0,15,29
01-04-2021,South-West,483,349,134,61,278,129,15,325,158,0,0,45,96
01-04-2021,West,263,162,101,39,141,72,11,111,152,0,0,61,143
01-05-2021,Dublin,4054,2654,1400,500,2357,1136,61,2196,1914,26,0,688,1659
01-05-2021,Mid-East,327,223,104,53,172,91,11,197,127,3,0,49,110
01-05-2021,Midlands,80,51,29,20,44,15,1,54,10,16,0,13,24
01-05-2021,Mid-West,286,198,88,35,173,73,5,51,202,33,0,32,47
01-05-2021,North-East,91,67,24,13,46,22,10,22,50,19,0,8,19
01-05-2021,North-West,83,55,28,17,44,21,1,38,29,13,3,9,17
01-05-2021,South-East,178,132,46,33,98,41,6,40,138,0,0,16,31
01-05-2021,South-West,495,348,147,65,279,135,16,324,175,0,0,51,100
01-05-2021,West,249,145,104,44,127,70,8,119,130,0,0,62,141
01-06-2021,Dublin,4069,2669,1400,513,2368,1128,60,2200,1889,27,0,702,1684
01-06-2021,Mid-East,322,215,107,53,164,95,10,196,123,3,0,47,111
01-06-2021,Midlands,75,48,27,19,41,14,1,49,10,16,0,12,22
01-06-2021,Mid-West,281,195,86,32,171,73,5,50,198,33,0,31,46
01-06-2021,North-East,96,72,24,9,52,25,10,21,54,21,0,8,18
01-06-2021,North-West,81,55,26,18,40,22,1,37,28,13,3,6,13
01-06-2021,South-East,173,130,43,26,100,42,5,35,138,0,0,14,25
01-06-2021,South-West,492,351,141,61,272,141,18,333,165,0,0,46,94
01-06-2021,West,258,150,108,47,122,79,10,124,134,0,0,66,154
01-07-2021,Dublin,4220,2743,1477,668,2385,1111,56,2295,2036,36,0,700,1657
01-07-2021,Mid-East,306,197,109,52,151,92,11,177,122,3,4,46,89
01-07-2021,Midlands,77,50,27,19,46,11,1,51,11,15,0,5,9
01-07-2021,Mid-West,275,189,86,32,155,82,6,31,216,28,0,27,41
01-07-2021,North-East,96,70,26,10,47,32,7,17,57,22,0,8,18
01-07-2021,North-West,77,54,23,17,37,21,2,38,26,13,0,8,16
01-07-2021,South-East,180,129,51,30,101,43,6,40,140,0,0,18,31
01-07-2021,South-West,492,347,145,61,275,138,18,328,167,0,0,52,103
01-07-2021,West,280,163,117,54,129,86,11,155,125,0,0,66,165
01-08-2021,Dublin,4220,2735,1485,695,2327,1133,65,2258,2002,35,0,723,1710
01-08-2021,Mid-East,305,199,106,45,154,95,11,184,118,3,0,46,92
01-08-2021,Midlands,84,54,30,23,43,16,2,58,0,26,0,7,11
01-08-2021,Mid-West,283,195,88,32,165,80,6,27,222,34,0,30,45
01-08-2021,North-East,103,76,27,8,60,28,7,19,59,25,0,8,19
01-08-2021,North-West,70,44,26,18,32,19,1,24,33,13,0,6,10
01-08-2021,South-East,176,127,49,27,101,43,5,42,134,0,0,17,34
01-08-2021,South-West,504,357,147,65,278,142,19,339,171,0,0,53,104
01-08-2021,West,278,162,116,71,126,70,11,158,120,0,0,63,164
01-09-2021,Dublin,4287,2776,1511,708,2374,1141,64,2329,1997,39,0,752,1806
01-09-2021,Mid-East,318,205,113,51,162,96,9,192,112,3,11,52,104
01-09-2021,Midlands,91,60,31,21,49,18,3,65,0,26,0,6,11
01-09-2021,Mid-West,299,203,96,31,169,93,6,28,240,31,0,32,52
01-09-2021,North-East,75,59,16,5,44,21,5,12,54,8,1,9,20
01-09-2021,North-West,74,51,23,14,38,21,1,27,32,15,0,8,12
01-09-2021,South-East,193,137,56,29,110,48,6,53,140,0,0,18,39
01-09-2021,South-West,512,361,151,65,283,145,19,339,179,0,0,60,122
01-09-2021,West,282,166,116,65,128,74,15,160,122,0,0,68,178
01-10-2021,Dublin,4432,2875,1557,769,2439,1165,59,2465,1986,38,0,799,1903
01-10-2021,Mid-East,324,206,118,54,162,98,10,198,122,4,0,55,122
01-10-2021,Midlands,89,54,35,18,54,15,2,64,0,25,0,10,17
01-10-2021,Mid-West,282,185,97,35,151,90,6,34,218,30,0,36,61
01-10-2021,North-East,81,61,20,7,45,24,5,11,63,7,0,9,18
01-10-2021,North-West,77,50,27,11,43,22,1,31,32,14,0,8,15
01-10-2021,South-East,201,144,57,36,111,49,5,57,144,0,0,18,38
01-10-2021,South-West,534,371,163,67,298,151,18,351,185,0,0,68,142
01-10-2021,West,297,171,126,56,145,79,17,168,129,0,0,79,197
01-11-2021,Dublin,4568,2999,1569,797,2501,1208,62,2651,1938,31,0,815,1930
01-11-2021,Mid-East,352,220,132,65,168,109,10,213,133,6,0,60,116
01-11-2021,Midlands,86,51,35,18,54,14,0,63,0,23,0,11,18
01-11-2021,Mid-West,300,195,105,37,163,94,6,42,226,32,0,41,77
01-11-2021,North-East,82,61,21,10,42,24,6,20,60,2,0,10,21
01-11-2021,North-West,73,48,25,12,34,26,1,23,37,13,0,8,17
01-11-2021,South-East,217,155,62,38,116,55,8,63,154,0,0,21,44
01-11-2021,South-West,531,372,159,66,295,153,17,349,184,0,0,63,130
01-11-2021,West,342,206,136,162,98,14,,182,160,0,0,79,195
01-12-2021,Dublin,4489,2961,1528,784,2432,1211,62,2553,1960,36,0,802,1891
01-12-2021,Mid-East,340,224,116,59,162,108,11,192,140,5,3,55,119
01-12-2021,Midlands,93,52,41,25,50,17,1,67,0,26,0,15,24
01-12-2021,Mid-West,308,196,112,41,166,94,7,46,228,34,0,46,69
01-12-2021,North-East,82,61,21,10,46,20,6,13,59,10,0,10,27
01-12-2021,North-West,61,41,20,9,32,19,1,17,31,13,0,7,10
01-12-2021,South-East,214,162,52,38,118,50,8,66,148,0,0,24,45
01-12-2021,South-West,528,373,155,61,302,148,17,357,171,0,0,55,113
01-12-2021,West,351,215,136,63,190,86,12,165,186,0,0,63,153
01-01-2022,Dublin,4580,2988,1592,804,2470,1242,64,2592,2011,35,0,821,1928
01-01-2022,Mid-East,344,229,115,58,165,109,12,203,133,5,3,53,122
01-01-2022,Midlands,95,48,47,25,56,13,1,70,0,25,0,18,28
01-01-2022,Mid-West,321,201,120,43,180,89,9,55,230,36,0,50,89
01-01-2022,North-East,80,60,20,15,40,20,5,13,55,12,0,12,36
01-01-2022,North-West,71,47,24,13,38,19,1,24,32,15,0,11,16
01-01-2022,South-East,215,156,59,40,114,54,7,65,150,0,0,23,35
01-01-2022,South-West,552,396,156,54,320,159,19,368,186,0,0,56,125
01-01-2022,West,329,198,131,59,169,89,12,170,159,0,0,75,184
01-02-2022,Dublin,4711,3055,1656,830,2543,1269,69,2690,1986,35,0,851,1996
01-02-2022,Mid-East,385,253,132,73,185,115,12,254,123,5,3,62,130
01-02-2022,Midlands,100,57,43,20,60,18,2,68,0,32,0,19,31
01-02-2022,Mid-West,327,200,127,45,177,94,11,58,235,34,0,50,93
01-02-2022,North-East,85,60,25,13,43,24,5,15,60,10,0,13,29
01-02-2022,North-West,75,50,25,14,43,16,2,27,34,14,0,11,17
01-02-2022,South-East,241,169,72,44,132,56,9,81,160,0,0,30,51
01-02-2022,South-West,586,403,183,62,346,162,16,386,200,0,0,71,148
01-02-2022,West,315,193,122,58,161,84,12,161,154,0,0,73,172
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,,,,,,,,,,,,,,
01-02-2022,851,409,1455,1996,,,,,,,,,,
01-02-2022,62,34,104,130,,,,,,,,,,
01-02-2022,19,13,25,31,,,,,,,,,,
01-02-2022,50,38,62,93,,,,,,,,,,
01-02-2022,13,9,17,29,,,,,,,,,,
01-02-2022,11,8,14,17,,,,,,,,,,
01-02-2022,30,23,37,51,,,,,,,,,,
01-02-2022,71,47,95,148,,,,,,,,,,
01-02-2022,73,37,109,172,,,,,,,,,,
01-03-2022,Dublin,4886,3162,1724,893,2599,1326,68,2823,2103,37,0,901,2109
01-03-2022,Mid-East,385,241,144,76,182,112,15,234,142,5,4,71,159
01-03-2022,Midlands,105,57,48,19,65,14,7,71,0,34,0,21,34
01-03-2022,Mid-West,330,207,123,41,175,104,10,67,233,31,0,51,102
01-03-2022,North-East,84,59,25,15,43,21,5,23,52,9,0,14,32
01-03-2022,North-West,77,49,28,14,46,15,2,26,34,17,0,13,20
01-03-2022,South-East,246,175,71,43,134,60,9,80,166,0,0,28,50
01-03-2022,South-West,570,401,169,66,327,164,13,376,197,0,0,64,127
01-03-2022,West,331,197,134,63,166,88,14,181,150,0,0,75,178
01-04-2022,Dublin,4991,3218,1773,918,2666,1340,67,2884,2117,36,0,956,2209
01-04-2022,Mid-East,405,257,148,78,199,113,15,243,153,5,4,76,173
01-04-2022,Midlands,101,52,49,19,57,23,2,66,0,34,1,22,42
01-04-2022,Mid-West,341,212,129,43,189,97,12,76,233,32,0,57,109
01-04-2022,North-East,89,58,31,12,48,22,7,33,55,1,0,11,24
01-04-2022,North-West,76,48,28,11,44,19,2,31,28,17,0,11,18
01-04-2022,South-East,246,175,71,43,139,56,8,79,167,0,0,30,54
01-04-2022,South-West,549,384,165,66,307,163,13,361,192,0,0,73,141
01-04-2022,West,307,183,124,56,146,92,13,177,130,0,0,72,174
01-05-2022,Dublin,5173,3352,1821,943,2770,1384,76,3030,2178,37,0,972,2259
01-05-2022,Mid-East,410,262,148,75,194,122,19,248,154,4,4,77,158
01-05-2022,Midlands,105,52,53,18,63,21,3,67,0,38,0,26,46
01-05-2022,Mid-West,359,218,141,40,199,110,10,93,227,39,0,71,135
01-05-2022,North-East,94,70,24,11,53,23,7,38,55,1,0,23,44
01-05-2022,North-West,76,50,26,8,43,23,2,32,32,12,0,10,16
01-05-2022,South-East,243,180,63,38,140,57,8,81,162,0,0,30,49
01-05-2022,South-West,547,379,168,56,304,172,15,350,199,0,0,72,109
01-05-2022,West,290,162,128,53,142,84,11,180,110,0,0,85,212
01-06-2022,Dublin,5258,3416,1842,934,2834,1411,79,3083,2180,35,0,990,2274
01-06-2022,Mid-East,414,271,143,74,201,122,17,254,152,4,4,77,156
01-06-2022,Midlands,110,54,56,19,65,22,4,73,0,37,0,29,50
01-06-2022,Mid-West,373,220,153,45,210,107,11,105,240,38,0,75,140
01-06-2022,North-East,96,65,31,11,56,23,6,26,70,0,0,13,30
01-06-2022,North-West,79,51,28,6,50,21,2,32,35,12,0,11,19
01-06-2022,South-East,248,179,69,41,144,57,6,84,164,0,0,28,51
01-06-2022,South-West,555,376,179,65,313,164,13,356,202,0,0,74,145
01-06-2022,West,288,157,131,51,142,84,11,175,113,0,0,88,206
01-07-2022,Dublin,5209,3359,1850,913,2789,1426,81,3045,2166,34,0,1016,2339
01-07-2022,Mid-East,410,259,151,75,197,122,16,258,144,4,4,86,158
01-07-2022,Midlands,127,67,60,17,78,29,3,89,0,38,0,32,58
01-07-2022,Mid-West,374,223,151,47,201,113,13,105,238,39,0,78,145
01-07-2022,North-East,99,68,31,11,57,25,6,29,66,4,0,13,33
